Country,City/Town,Year,PM2.5,PM10,CO₂ emissions per capita,Renewables,pm25_normalized,pm10_normalized,co2_normalized,ren_normalized,risk_score,risk_category
China,Huanggang,2016,51,75,6.9428844,11.113145,0.34,0.3,0.69428844,0.565012848682329,44.786025773646585,Moderate Risk
China,Jimo,2014,51,77,7.187588,9.689675,0.34,0.308,0.7187588,0.6207436425135608,46.55004885027122,Moderate Risk
China,Shiyan,2016,51,81,6.9428844,11.113145,0.34,0.324,0.69428844,0.565012848682329,45.26602577364659,Moderate Risk
China,"Taizhou, Jiangsu",2016,51,87,6.9428844,11.113145,0.34,0.348,0.69428844,0.565012848682329,45.74602577364658,Moderate Risk
China,Tongling,2016,51,78,6.9428844,11.113145,0.34,0.312,0.69428844,0.565012848682329,45.02602577364658,Moderate Risk
China,Xiangtan,2016,51,85,6.9428844,11.113145,0.34,0.34,0.69428844,0.565012848682329,45.58602577364659,Moderate Risk
China,Xuancheng,2016,51,68,6.9428844,11.113145,0.34,0.272,0.69428844,0.565012848682329,44.22602577364658,Moderate Risk
China,Yangzhou,2016,51,87,6.9428844,11.113145,0.34,0.348,0.69428844,0.565012848682329,45.74602577364658,Moderate Risk
China,Zhuzhou,2016,51,83,6.9428844,11.113145,0.34,0.332,0.69428844,0.565012848682329,45.426025773646586,Moderate Risk
Kuwait,Saad Al-Abdullah,2016,51,63,25.978886,0.026322374,0.34,0.252,1.0,0.9990770902982693,58.62154180596539,High Risk
China,Baishan,2016,50,81,6.9428844,11.113145,0.3333333333333333,0.324,0.69428844,0.565012848682329,44.99935910697992,Moderate Risk
China,Jiujiang,2016,50,74,6.9428844,11.113145,0.3333333333333333,0.296,0.69428844,0.565012848682329,44.439359106979914,Moderate Risk
China,Zhenjiang,2016,50,80,6.9428844,11.113145,0.3333333333333333,0.32,0.69428844,0.565012848682329,44.91935910697992,Moderate Risk
India,Pune,2016,50,89,1.7504745,6.369765,0.3333333333333333,0.356,0.17504745,0.7507226513779872,38.96873536089308,Moderate Risk
Iran,Zabol,2016,50,115,7.6919622,1.3443363,0.3333333333333333,0.46,0.76919622,0.9474750457335097,56.866758648003525,High Risk
Chile,Padre Las Casas,2016,49,64,4.6121125,19.341196,0.32666666666666666,0.256,0.46121125,0.2428734190393712,32.268360047454095,Moderate Risk
China,Changshu,2014,49,74,7.187588,9.689675,0.32666666666666666,0.296,0.7187588,0.6207436425135608,45.77671551693789,Moderate Risk
China,Changzhou,2016,49,81,6.9428844,11.113145,0.32666666666666666,0.324,0.69428844,0.565012848682329,44.73269244031325,Moderate Risk
China,Hangzhou,2016,49,105,6.9428844,11.113145,0.32666666666666666,0.42,0.69428844,0.565012848682329,46.652692440313245,Moderate Risk
China,Ma'anshan,2016,49,75,6.9428844,11.113145,0.32666666666666666,0.3,0.69428844,0.565012848682329,44.252692440313254,Moderate Risk
China,Mianyang,2016,49,78,6.9428844,11.113145,0.32666666666666666,0.312,0.69428844,0.565012848682329,44.492692440313256,Moderate Risk
China,Weifang,2014,49,73,7.187588,9.689675,0.32666666666666666,0.292,0.7187588,0.6207436425135608,45.69671551693789,Moderate Risk
China,Xi'ning,2016,49,113,6.9428844,11.113145,0.32666666666666666,0.452,0.69428844,0.565012848682329,47.29269244031325,Moderate Risk
China,Yueyang,2016,49,72,6.9428844,11.113145,0.32666666666666666,0.288,0.69428844,0.565012848682329,44.01269244031325,Moderate Risk
China,Ziyang,2016,49,95,6.9428844,11.113145,0.32666666666666666,0.38,0.69428844,0.565012848682329,45.852692440313255,Moderate Risk
India,Chennai,2016,49,80,1.7504745,6.369765,0.32666666666666666,0.32,0.17504745,0.7507226513779872,37.98206869422641,Moderate Risk
China,Baicheng,2016,48,75,6.9428844,11.113145,0.32,0.3,0.69428844,0.565012848682329,43.98602577364659,Moderate Risk
China,Enshi,2016,48,69,6.9428844,11.113145,0.32,0.276,0.69428844,0.565012848682329,43.506025773646584,Moderate Risk
China,Jintan,2014,48,72,7.187588,9.689675,0.32,0.288,0.7187588,0.6207436425135608,45.35004885027122,Moderate Risk
China,Nanjing,2016,48,85,6.9428844,11.113145,0.32,0.34,0.69428844,0.565012848682329,44.786025773646585,Moderate Risk
China,Rushan,2014,48,72,7.187588,9.689675,0.32,0.288,0.7187588,0.6207436425135608,45.35004885027122,Moderate Risk
China,Tieling,2016,48,83,6.9428844,11.113145,0.32,0.332,0.69428844,0.565012848682329,44.62602577364658,Moderate Risk
China,Wuzhong,2016,48,98,6.9428844,11.113145,0.32,0.392,0.69428844,0.565012848682329,45.826025773646585,Moderate Risk
China,Xianning,2016,48,77,6.9428844,11.113145,0.32,0.308,0.69428844,0.565012848682329,44.14602577364658,Moderate Risk
China,Yan'an,2014,48,73,7.187588,9.689675,0.32,0.292,0.7187588,0.6207436425135608,45.43004885027122,Moderate Risk
China,Zhangjiajie,2016,48,72,6.9428844,11.113145,0.32,0.288,0.69428844,0.565012848682329,43.74602577364658,Moderate Risk
Vietnam,Hanoi,2016,48,102,2.3513482,18.652882,0.32,0.408,0.23513482,0.2698218518304736,31.059133436609475,Moderate Risk
Bangladesh,Rajshahi,2015,47,86,0.48277447,0.7931762,0.31333333333333335,0.344,0.048277447,0.9690537160961454,39.75995659525624,Moderate Risk
